ancestor_note,sub_note,similarity1,similarity2,similarity3
Data Acquisition And Preprocessing,Spatial Analysis,0,0,0
Data Preparation,Data Acquisition And Preprocessing,0.757440925,0.5018242,0.757440925
Import/Load Data,Data Preparation,0.411125273,0.905560514,0.905560514
Covering Grid Generation,Import/Load Data,0.325824738,0.880781001,0.880781001
Binary Image Creation,Import/Load Data,0.167062029,0.880781001,0.880781001
Ancillary Layer Computation,Import/Load Data,0.299093336,0.880781001,0.880781001
Select Data,Data Acquisition And Preprocessing,0.428720921,0.572482305,0.572482305
Select Image,Select Data,0.567200005,0.852072402,0.852072402
Select Specific Bands From Images,Select Image,0.639779687,0.845730578,0.845730578
Limit The Number Of Images,Select Image,0.399825811,0.845730578,0.845730578
Selects Temperature Data,Select Image,0.241093144,0.877639576,0.877639576
Selects Air Temperature Data,Selects Temperature Data,0.876446962,0.920762382,0.920762382
Selects Surface Temperature Data,Selects Temperature Data,0.859672666,0.920762382,0.920762382
Select And Clip Image,Select Image,0.867275059,0.845730578,0.867275059
Select Specific Polarization From Images,Select Data,0.336619914,0.764071772,0.764071772
Select Land Cover Types,Select Data,0.342039675,0.764071772,0.764071772
Select DEM,Select Data,0.598344684,0.764071772,0.764071772
Select Index,Select Data,0.707772851,0.764071772,0.764071772
Area Of Interest Selection,Select Data,0.293488294,0.764071772,0.764071772
Data Filtering,Data Acquisition And Preprocessing,0.50611341,0.722772913,0.722772913
Filter Image Collection,Data Filtering,0.65964359,0.724571756,0.724571756
Filter Image Collection By Time,Filter Image Collection,0.896588862,0.863840782,0.896588862
Filter Image Collection By Date,Filter Image Collection By Time,0.922703803,0.896528853,0.922703803
Filter Image Collection By Month,Filter Image Collection By Time,0.856729686,0.896528853,0.896528853
Filter Image Collection By Year,Filter Image Collection By Time,0.867342949,0.896528853,0.896528853
Filter Image Collection By Region,Filter Image Collection,0.885343373,0.808413842,0.885343373
Filter Image Collection By Bounds,Filter Image Collection,0.886702895,0.808413842,0.886702895
Filter Image Collection By Date And Region,Filter Image Collection,0.848941565,0.808413842,0.848941565
Filter Image Collection By Date And Boundaries,Filter Image Collection,0.85105449,0.808413842,0.85105449
Filter Image Collection By Cloud Coverage,Filter Image Collection,0.819747269,0.808413842,0.819747269
Filter Images,Data Filtering,0.643259227,0.734304138,0.734304138
Filter Images by wind conditions,Filter Images,0.767729759,0.798318753,0.798318753
Filter And Process Images For Water Detection,Filter Images,0.695361793,0.798318753,0.798318753
Filter Images By Time,Filter Images,0.857731104,0.853549341,0.857731104
Filter Images By Date,Filter Images By Time,0.882913291,0.896528853,0.896528853
Filter Images By Month,Filter Images By Time,0.812184989,0.896528853,0.896528853
Filter Images By Year,Filter Images By Time,0.817406833,0.896528853,0.896528853
Filter Images By Region,Filter Images,0.856978536,0.798318753,0.856978536
Filter Images By Date And Region,Filter Images,0.805132091,0.798318753,0.805132091
Filter Images By Cloud Cover,Filter Images,0.79740864,0.798318753,0.798318753
Applying Mean Filter To Image,Filter Images,0.767909527,0.798318753,0.798318753
Temporal Filtering,Data Filtering,0.620216966,0.657499324,0.657499324
Temporal Image Collection Filtering,Temporal Filtering,0.761759281,0.880781001,0.880781001
Temporal Data Filtering,Temporal Filtering,0.913369477,0.880781001,0.913369477
Seasonal Filtering,Temporal Filtering,0.691212833,0.880781001,0.880781001
Spatial Filtering,Data Filtering,0.702478707,0.674684917,0.702478707
Filtering Polygons,Spatial Filtering,0.716057718,0.861759225,0.861759225
Filtering Pixels,Spatial Filtering,0.727193236,0.861759225,0.861759225
Filtering Administrative Boundaries,Spatial Filtering,0.719057679,0.861759225,0.861759225
Angle Filtering,Spatial Filtering,0.698769748,0.861759225,0.861759225
Speckle Filtering,Data Filtering,0.536760867,0.674684917,0.674684917
Sigma Lee Speckle Filtering,Speckle Filtering,0.691376865,0.861759225,0.861759225
Refined Lee Speckle Filtering,Speckle Filtering,0.853081584,0.861759225,0.861759225
Apply Perona-Malik Anisotropic Diffusion Filter,Speckle Filtering,0.476177812,0.861759225,0.861759225
Apply Gamma MAP Filter,Speckle Filtering,0.465295166,0.861759225,0.861759225
Quality Filtering,Data Filtering,0.719927311,0.609290243,0.719927311
Quality Control,Quality Filtering,0.731422484,0.936013437,0.936013437
Filtering Training Data,Data Filtering,0.753716648,0.609290243,0.753716648
Filtering Features,Data Filtering,0.836869776,0.657499324,0.836869776
Filtering Precipitation Data,Filtering Features,0.576248825,0.880781001,0.880781001
Filtering Soil Moisture Data,Filtering Features,0.471159011,0.880781001,0.880781001
Cloud Filtering,Filtering Features,0.580865085,0.880781001,0.880781001
Filter Feature,Data Filtering,0.749806643,0.657499324,0.749806643
Filter Feature Collection,Filter Feature,0.914739966,0.880781001,0.914739966
Filter And Buffer A Feature Collection,Filter Feature,0.781347036,0.880781001,0.880781001
Feature Filtering And Mapping,Filter Feature,0.770506024,0.880781001,0.880781001
Filter And Visualize,Data Filtering,0.668291509,0.609290243,0.668291509
Filter And Sort,Data Filtering,0.608535707,0.609290243,0.609290243
Filter And Select,Data Filtering,0.694766819,0.609290243,0.694766819
Filter And Process,Data Filtering,0.686609745,0.609290243,0.686609745
Filter And Mask,Data Filtering,0.581055284,0.609290243,0.609290243
Filter And Map,Data Filtering,0.68648845,0.609290243,0.68648845
Filter And Display,Data Filtering,0.657491684,0.609290243,0.657491684
Filter And Composite,Data Filtering,0.524985492,0.609290243,0.609290243
Filter And Clip,Data Filtering,0.61607945,0.609290243,0.61607945
Filter And Classify,Data Filtering,0.749902546,0.609290243,0.749902546
Filter And Mosaic,Data Filtering,0.549797535,0.609290243,0.609290243
Filter And Merge,Data Filtering,0.551766932,0.609290243,0.609290243
Sort Images,Data Acquisition And Preprocessing,0.157675341,0.538598626,0.538598626
Sort Image Collection By Time,Sort Images,0.82795918,0.835128708,0.835128708
Sort Images By Start Time,Sort Image Collection By Time,0.814769626,0.904385946,0.904385946
Sort Images By Acquisition Time,Sort Image Collection By Time,0.904808283,0.904385946,0.904808283
Sort Image Collection By Feature,Sort Images,0.799943268,0.835128708,0.835128708
Sort Image Collections By Cloud Cover,Sort Image Collection By Feature,0.765142024,0.904385946,0.904385946
Sort Images By Quality,Sort Image Collection By Feature,0.796423137,0.904385946,0.904385946
Sort Image Collection By Region,Sort Images,0.836287975,0.835128708,0.836287975
Sort Pixels,Sort Image Collection By Region,0.656650424,0.904385946,0.904385946
Sort By Area Size,Sort Image Collection By Region,0.689454317,0.904385946,0.904385946
Data Fusion,Data Acquisition And Preprocessing,0.513308883,0.642220051,0.642220051
Image Addition,Data Fusion,0.249236122,0.772512131,0.772512131
Add Variables To Imagery,Image Addition,0.582340658,0.845730578,0.845730578
Add A Legend,Image Addition,0.324723721,0.845730578,0.845730578
Add Date Information To Images,Image Addition,0.546336293,0.845730578,0.845730578
Add Vegetation Indices,Image Addition,0.293658853,0.877639576,0.877639576
Addition Of NDVI,Add Vegetation Indices,0.121727914,0.920762382,0.920762382
Addition Of NDWI,Add Vegetation Indices,0.113764375,0.920762382,0.920762382
Image Aggregation,Data Fusion,0.356843948,0.887146184,0.887146184
Aggregate Multiple Images,Image Aggregation,0.74780184,0.906568694,0.906568694
Temporal Aggregation,Aggregate Multiple Images,0.355591506,0.77693611,0.77693611
Image Stacking,Aggregate Multiple Images,0.597914219,0.77693611,0.77693611
Stacking Multiple Images,Image Stacking,0.824384749,0.96355162,0.96355162
Generate Image Composites,Aggregate Multiple Images,0.536019683,0.919459931,0.919459931
Generate Image Composites For Indices/Index,Generate Image Composites,0.89867419,0.819375898,0.89867419
Create Image Composites To Minimize Cloud Cover,Generate Image Composites,0.726852536,0.819375898,0.819375898
Create Median Composite Of Images,Generate Image Composites,0.744554281,0.819375898,0.819375898
Create RGB Composite Image,Generate Image Composites,0.755890846,0.819375898,0.819375898
Temporal Compositing,Generate Image Composites,0.016138634,0.913588351,0.913588351
Creating Seasonal Composite,Temporal Compositing,0.222551346,0.875085018,0.875085018
Creating Annual Composite,Temporal Compositing,0.164524883,0.875085018,0.875085018
Creating Monthly Composite,Temporal Compositing,0.216651976,0.875085018,0.875085018
Creating Median Composites For Specific Time Periods,Temporal Compositing,0.383687526,0.875085018,0.875085018
Creates Time Series Composites Of Satellite Images,Temporal Compositing,0.282772958,0.875085018,0.875085018
Merge Feature Collections,Aggregate Multiple Images,0.407482088,0.77693611,0.77693611
Merge And Sort Image Collections,Aggregate Multiple Images,0.587400734,0.77693611,0.77693611
Combine Multiple Image Properties,Image Aggregation,0.593761802,0.821791526,0.821791526
Union Of Administrative Units,Combine Multiple Image Properties,0.09697824,0.86046536,0.86046536
Union Of Geometries,Combine Multiple Image Properties,0.065090269,0.86046536,0.86046536
Aggregate Fire Data,Combine Multiple Image Properties,0.232901543,0.86046536,0.86046536
Aggregate Land Cover,Combine Multiple Image Properties,0.213538468,0.86046536,0.86046536
Merge Different Land Cover Feature Collections,Aggregate Land Cover,0.565385997,0.96355162,0.96355162
Aggregate Temperature Data,Combine Multiple Image Properties,0.193801105,0.86046536,0.86046536
Image Mosaicking,Data Acquisition And Preprocessing,0.206304327,0.515868964,0.515868964
Mosaic Landsat Images,Image Mosaicking,0.808128178,0.832642076,0.832642076
Filter And Mosaic Landsat Images,Mosaic Landsat Images,0.820441067,0.936013437,0.936013437
Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Filter And Mosaic Landsat Images,0.806042731,0.953164601,0.953164601
Creates And Exports Image Mosaics,Image Mosaicking,0.790292621,0.832642076,0.832642076
Quality Mosaic Generation,Image Mosaicking,0.662497401,0.832642076,0.832642076
Annual Mosaick,Image Mosaicking,0.572927654,0.832642076,0.832642076
Building Annual Mosaic Collection,Annual Mosaick,0.805083573,0.936013437,0.936013437
Image Masking,Data Acquisition And Preprocessing,0.082426198,0.64633987,0.64633987
Mask Application,Image Masking,0.771802068,0.909973676,0.909973676
Quality Masking,Mask Application,0.747080266,0.707319316,0.747080266
Vegetation Masking,Mask Application,0.429297656,0.707319316,0.707319316
Spatial Masking,Mask Application,0.59390074,0.707319316,0.707319316
Shadow Removal,Mask Application,0.442898303,0.707319316,0.707319316
Shadow Masking,Mask Application,0.64850229,0.707319316,0.707319316
Elevation Masking,Mask Application,0.44570151,0.707319316,0.707319316
Remove Elevation Effects,Mask Application,0.167009011,0.707319316,0.707319316
Remove Double Counts,Mask Application,0.009429161,0.707319316,0.707319316
Remove Invalid Value,Mask Application,0.06494759,0.707319316,0.707319316
Apply Masks To Classified Images,Mask Application,0.650542796,0.707319316,0.707319316
Flood Mask Generation,Mask Application,0.56604743,0.707319316,0.707319316
Temperature Masking,Mask Application,0.589447796,0.707319316,0.707319316
Edge Masking,Mask Application,0.668790996,0.707319316,0.707319316
Clear Pixel Masking,Mask Application,0.660442412,0.707319316,0.707319316
Burn Masking,Mask Application,0.678749084,0.707319316,0.707319316
Image Cloud Masking,Mask Application,0.555605054,0.833161732,0.833161732
Analyze Frequency Of Clouds And Vegetation,Image Cloud Masking,0.429885566,0.82196498,0.82196498
Cloud And Shade Masking,Image Cloud Masking,0.784254432,0.82196498,0.82196498
Cloud And Cloud Shadow Masking,Cloud And Shade Masking,0.818588316,0.96355162,0.96355162
Cloud And Snow Masking,Image Cloud Masking,0.631105304,0.82196498,0.82196498
Cloud And Water Masking,Image Cloud Masking,0.784428596,0.82196498,0.82196498
Cloud Probability Masking,Image Cloud Masking,0.656981111,0.82196498,0.82196498
Image Cloud Removal,Image Cloud Masking,0.805515945,0.878449819,0.878449819
Reduce Cloud Effects,Image Cloud Removal,0.637985289,0.906015175,0.906015175
Cloud And Shadow Removal,Image Cloud Removal,0.768952847,0.906015175,0.906015175
Cloud Cover Removal,Image Cloud Removal,0.85880214,0.906015175,0.906015175
Update Masks,Image Masking,0.52567786,0.683554395,0.683554395
Image Preprocessing,Data Acquisition And Preprocessing,0.508881271,0.665404293,0.665404293
Image Enhancement,Image Preprocessing,0.660357177,0.664228768,0.664228768
Image Scaling,Image Preprocessing,0.529313087,0.664228768,0.664228768
Image Segmentation,Image Preprocessing,0.506007731,0.664228768,0.664228768
Data Partitioning,Image Segmentation,0.291274726,0.936013437,0.936013437
Image Stretching,Image Preprocessing,0.429790437,0.664228768,0.664228768
Image Resampling,Image Preprocessing,0.682630658,0.664228768,0.682630658
Projection,Image Preprocessing,0.312156498,0.692768184,0.692768184
Image Reprojection,Projection,0.382561505,0.904385946,0.904385946
Shadow Projection,Projection,0.709441364,0.904385946,0.904385946
Image Reduction,Image Preprocessing,0.645376325,0.761104977,0.761104977
Reduction Of Image Regions,Image Reduction,0.838244438,0.831822115,0.838244438
Reduction To Single Image,Image Reduction,0.893429518,0.831822115,0.893429518
Reduction Of Image Collection,Image Reduction,0.841326773,0.831822115,0.841326773
Reduction Of Feature Data,Image Reduction,0.609256804,0.831822115,0.831822115
Reduction By Statistics,Image Reduction,0.473131448,0.831822115,0.831822115
Reduce Image Collection To Minimum Value,Image Reduction,0.696202695,0.831822115,0.831822115
Noise Reduction,Image Preprocessing,0.199652657,0.732414567,0.732414567
Radar Image Noise Reduction,Noise Reduction,0.678344846,0.861759225,0.861759225
Speckle Reduction,Noise Reduction,0.460816056,0.893804687,0.893804687
Speckle Noise Removal,Speckle Reduction,0.76854521,0.920762382,0.920762382
Speckle Noise Reduction,Speckle Reduction,0.835438788,0.920762382,0.920762382
Mean Reduction,Noise Reduction,0.496595353,0.861759225,0.861759225
Smoothing,Image Preprocessing,0.285564959,0.761104977,0.761104977
Smooth Radar Speckle In Images,Smoothing,0.407313555,0.831822115,0.831822115
Harmonic Smoothing,Smoothing,0.729327619,0.831822115,0.831822115
Spatial Smoothing,Smoothing,0.782586098,0.831822115,0.831822115
Temporal Smoothing,Smoothing,0.756360114,0.831822115,0.831822115
Focal Median Smoothing,Smoothing,0.685506165,0.831822115,0.831822115
Focal Mean Smoothing,Smoothing,0.789724767,0.831822115,0.831822115
Data Standardization,Image Preprocessing,0.040272068,0.761104977,0.761104977
Unit Conversion,Data Standardization,0.31031388,0.907263945,0.907263945
Unit Conversion For Daily Averages,Unit Conversion,0.588938475,0.876969125,0.876969125
Unit Conversion For Energy Balance Components,Unit Conversion,0.736805499,0.876969125,0.876969125
Unit Conversion For Hourly Dataset,Unit Conversion,0.641513705,0.876969125,0.876969125
Unit Conversion For Temperature Data,Unit Conversion,0.666664362,0.876969125,0.876969125
"Merge, Harmonize, And Standardize Landsat Image Collections",Data Standardization,0.365646511,0.831822115,0.831822115
Image Normalization,Data Standardization,0.306588113,0.831822115,0.831822115
Image Band Normalization,Image Normalization,0.831968307,0.953164601,0.953164601
Spectral And Temporal Analysis,Spatial Analysis,0,0,0
Image Index Calculation,Spectral And Temporal Analysis,0.187839046,0.795858499,0.795858499
Spectral Index Computation,Image Index Calculation,0.500542879,0.766384178,0.766384178
Calculate Temporal Spectral Indices,Spectral Index Computation,0.712646484,0.861759225,0.861759225
Calculate Seasonal And Temporal Spectral Indices,Calculate Temporal Spectral Indices,0.876813114,0.953164601,0.953164601
Calculate Spectral Indices And Ratios From Satellite Bands,Spectral Index Computation,0.631699979,0.861759225,0.861759225
Spectral Distance Calculation,Spectral Index Computation,0.712925494,0.861759225,0.861759225
Addition Of Spectral Indices,Spectral Index Computation,0.796337664,0.861759225,0.861759225
Vegetation Indices/Index Calculation,Image Index Calculation,0.503795624,0.847256765,0.847256765
Calculate Environmental And Vegetation Indices,Vegetation Indices/Index Calculation,0.898132086,0.940009706,0.940009706
Calculate Construction Land Index (CLI),Calculate Environmental And Vegetation Indices,0.587484777,0.793032042,0.793032042
Computes Normalized Difference Vegetation Index (NDVI),Calculate Environmental And Vegetation Indices,0.705935061,0.793032042,0.793032042
Compute Median Of NDVI,Calculates Median Values,0.702099681,0.876969125,0.876969125
Fractional Vegetation Cover (FVC) Calculation,Calculate Environmental And Vegetation Indices,0.630062699,0.793032042,0.793032042
Calculates Forest Structural Complexity Index (FSCI),Calculate Environmental And Vegetation Indices,0.557992876,0.793032042,0.793032042
Fractional Vegetation Calculation,Calculate Environmental And Vegetation Indices,0.703612208,0.793032042,0.793032042
"Calculate Other Vegetation Indices/index (SAVI, EVI)",Calculate Environmental And Vegetation Indices,0.866465092,0.793032042,0.866465092
Calculate Normalized Infrared Vegetation Index (NIRV),Calculate Environmental And Vegetation Indices,0.68399322,0.793032042,0.793032042
Chlorophyll-a Calculation,Calculate Environmental And Vegetation Indices,0.364712,0.793032042,0.793032042
Calculates Green Leaf Index (GLI),Calculate Environmental And Vegetation Indices,0.605502307,0.793032042,0.793032042
Seasonal NDVI Analysis,Calculate Environmental And Vegetation Indices,0.348581195,0.793032042,0.793032042
Emissivity Calculation,Image Index Calculation,0.385288715,0.696774271,0.696774271
Compute Emissivity From Vegetation Fraction,Emissivity Calculation,0.672552764,0.936013437,0.936013437
Water Indices/Index Calculation,Image Index Calculation,0.57620281,0.766384178,0.766384178
Calculates Normalized Difference Water Index (NDWI),Water Indices/Index Calculation,0.681483686,0.861759225,0.861759225
Calculate Normalized Difference Flood Index (NDFI),Water Indices/Index Calculation,0.54781121,0.861759225,0.861759225
Calculates Modified Normalized Difference Water Index (MNDWI),Water Indices/Index Calculation,0.640284538,0.861759225,0.861759225
Calculate Normalized Difference Water Body Index (NDWBI),Water Indices/Index Calculation,0.652512193,0.861759225,0.861759225
Calculate Normalized Difference And Other Indices,Image Index Calculation,0.335796803,0.696774271,0.696774271
Image Band Manipulation,Spectral And Temporal Analysis,0.127894163,0.727409072,0.727409072
Rename Image Bands,Image Band Manipulation,0.534104288,0.764071772,0.764071772
Rename Spectral Bands,Rename Image Bands,0.735063016,0.936013437,0.936013437
Merging (Combining Multiple Bands),Image Band Manipulation,0.345473737,0.794349983,0.794349983
Stack VV And VH Bands,Merging (Combining Multiple Bands),0.265820712,0.904385946,0.904385946
Stack Multiple Image Bands,Merging (Combining Multiple Bands),0.474434853,0.904385946,0.904385946
Image Band Addition,Image Band Manipulation,0.737444878,0.866068431,0.866068431
Add Normalized Difference Band,Image Band Addition,0.460448027,0.831822115,0.831822115
Add NDVI Band To Images,Image Band Addition,0.63257122,0.831822115,0.831822115
Add NDWI Band To Images,Image Band Addition,0.675693631,0.831822115,0.831822115
Add Cloud Cover Percentage Band,Image Band Addition,0.495184422,0.831822115,0.831822115
Add Cloud Probability And Mask As Image Bands,Add Cloud Cover Percentage Band,0.705282927,0.953164601,0.953164601
Add Tasseled Cap Transformation Bands,Image Band Addition,0.379125029,0.831822115,0.831822115
Addition Of Time Band,Image Band Addition,0.583847046,0.831822115,0.831822115
Add Date Bands To Images,Addition Of Time Band,0.51412183,0.953164601,0.953164601
Spectral Values Extraction,Image Band Manipulation,0.234597951,0.764071772,0.764071772
Multi-Temporal Synthesis,Spectral And Temporal Analysis,0.461958736,0.676527133,0.676527133
Temporal Collection Creation,Multi-Temporal Synthesis,0.448671192,0.817471069,0.817471069
Temporal Analysis,Multi-Temporal Synthesis,0.518696249,0.89089602,0.89089602
