ancestor_note,sub_note,similarity1,similarity2,similarity3
Apply Techniques To  Correct And Fill Data Gaps,Image Gap Filling,0.510039687,0.936013437,0.936013437
Band Correction,Image Correction,0.508015513,0.748496233,0.748496233
Angle Correction,Image Correction,0.650602043,0.748496233,0.748496233
Topographic Corrections,Image Correction,0.446778566,0.748496233,0.748496233
Terrain Correction,Topographic Corrections,0.716996968,0.936013437,0.936013437
Terrain Slope Correction,Terrain Correction,0.894642234,0.953164601,0.953164601
Atmospheric Correction,Image Correction,0.558098674,0.748496233,0.748496233
BRDF Correction,Image Correction,0.466152102,0.748496233,0.748496233
Surface Correction,Image Correction,0.614237964,0.748496233,0.748496233
Surface Reflectance Correction,Surface Correction,0.790981472,0.936013437,0.936013437
Radar Data Correction,Image Correction,0.564647138,0.748496233,0.748496233
Correction For Polarization,Image Correction,0.429269552,0.748496233,0.748496233
Pixel Correction,Image Correction,0.727892697,0.748496233,0.748496233
Cloud Correction Function,Image Correction,0.530340374,0.748496233,0.748496233
Border Noise Correction,Image Correction,0.434649229,0.748496233,0.748496233
Cluster Analysis,Spatial Analysis And Modeling,0.411983877,0.483924592,0.483924592
Train A Clusterer,Cluster Analysis,0.556185663,0.792714228,0.792714228
Compute Metric Within Clusters,Cluster Analysis,0.665709794,0.792714228,0.792714228
Image Clustering,Cluster Analysis,0.709734678,0.823371314,0.823371314
Segment Image Into Clusters,Image Clustering,0.823437631,0.904385946,0.904385946
Cluster Image Data,Image Clustering,0.895255744,0.904385946,0.904385946
Unsupervised Clustering,Cluster Analysis,0.701604903,0.792714228,0.792714228
Remap Cluster Results To Simplified Classes,Cluster Analysis,0.671716213,0.792714228,0.792714228
Time Series Clustering And Prediction,Cluster Analysis,0.690263331,0.792714228,0.792714228
Classification And Machine Learning,Spatial Analysis And Modeling,0.243476361,0.644696334,0.644696334
Classification,Classification And Machine Learning,0.772535145,0.813744137,0.813744137
Prepares Images For Classification,Classification,0.649018288,0.722079642,0.722079642
Burned Area Classification,Classification,0.456310809,0.775439341,0.775439341
Classify And Evaluate Burned Areas,Burned Area Classification,0.878283203,0.896528853,0.896528853
Severity Classification,Burned Area Classification,0.429329008,0.896528853,0.896528853
Classify And Visualize Burn Severity,Severity Classification,0.519199431,0.96355162,0.96355162
Classify Images Based On Pre And Post Fire Data,Burned Area Classification,0.531740069,0.896528853,0.896528853
Built-up Area Classification,Classification,0.712665975,0.722079642,0.722079642
Elevation Classification,Classification,0.651818991,0.722079642,0.722079642
Slope Classification,Classification,0.635888696,0.722079642,0.722079642
Support Vector Machine (SVM) Classification,Classification,0.541919053,0.722079642,0.722079642
Classify Images Based On Training Data,Classification,0.535393596,0.722079642,0.722079642
Classify Images Based On Trained Model,Classification,0.516765952,0.722079642,0.722079642
Vegetation Cover Classification,Classification,0.552051663,0.722079642,0.722079642
Fractional Vegetation Cover (FVC) Classification,Vegetation Cover Classification,0.749671936,0.953164601,0.953164601
Land Cover Classification And Mapping,Classification,0.535310626,0.722079642,0.722079642
Training And Sampling For Land Cover Classification,Classification,0.499103278,0.722079642,0.722079642
Correct Classification Results Using Specified Conditions,Classification,0.713153958,0.722079642,0.722079642
Apply Mask To Classification Results,Classification,0.64707011,0.722079642,0.722079642
Evaluate Classifier Performance Using Confusion Matrix,Classification,0.497497737,0.722079642,0.722079642
Reclassify,Classification,0.508923054,0.722079642,0.722079642
Machine Learning Classification,Classification,0.773203552,0.775439341,0.775439341
Random Forest Classification,Machine Learning Classification,0.56039995,0.896528853,0.896528853
Decision Tree Classification,Machine Learning Classification,0.608464897,0.896528853,0.896528853
SVM Classification,Machine Learning Classification,0.600794375,0.896528853,0.896528853
Data Preparation For Training,Classification And Machine Learning,0.482807904,0.78380192,0.78380192
Sampling Image,Data Preparation For Training,0.279946685,0.909164623,0.909164623
Sampling Regions,Sampling Image,0.696244359,0.868684374,0.868684374
Sampling Regions For Classifier Training,Sampling Regions,0.603973687,0.886108575,0.886108575
Sampling Regions For Training Data,Sampling Regions,0.701157928,0.886108575,0.886108575
Sampling Regions For Test Data,Sampling Regions,0.862511396,0.886108575,0.886108575
Sampling Regions For Validation,Sampling Regions,0.864053369,0.886108575,0.886108575
Sampling Data,Sampling Image,0.795252919,0.913378482,0.913378482
Sample Collection,Sampling Data,0.737381995,0.841715216,0.841715216
Sample Data Preparation,Sampling Data,0.666883469,0.841715216,0.841715216
Training Data Sampling,Sampling Data,0.718592048,0.841715216,0.841715216
Stratified Sampling,Sampling Data,0.753990173,0.841715216,0.841715216
Random Sampling,Sampling Data,0.763818622,0.841715216,0.841715216
Random Point Generation,Random Sampling,0.597920299,0.970437837,0.970437837
Feature Sampling For Training,Sampling Data,0.596456707,0.841715216,0.841715216
Feature Collection Sampling For Training,Sampling Data,0.563158214,0.841715216,0.841715216
Split Data Into Training And Testing Sets,Data Preparation For Training,0.686121583,0.751120203,0.751120203
Merge Feature Collections For Training Data,Data Preparation For Training,0.620015144,0.751120203,0.751120203
Training Data Creation,Data Preparation For Training,0.88117671,0.751120203,0.88117671
Feature Selection For Training,Data Preparation For Training,0.634325802,0.751120203,0.751120203
Training Model,Classification And Machine Learning,0.396299601,0.745980601,0.745980601
Trains And Applies Classifier,Training Model,0.466833144,0.894450623,0.894450623
Training CART Classifier,Trains And Applies Classifier,0.615659297,0.846128427,0.846128427
Decision Tree Modeling ,Trains And Applies Classifier,0.303321064,0.846128427,0.846128427
Train And Apply SVM Classifier,Trains And Applies Classifier,0.623683035,0.846128427,0.846128427
Train And Apply Random Forest Classifier,Trains And Applies Classifier,0.58103627,0.846128427,0.846128427
Random Forest Regression Training,Trains And Applies Classifier,0.282793581,0.846128427,0.846128427
Neural Network Application,Trains And Applies Classifier,0.326708138,0.846128427,0.846128427
Image Convolution,Neural Network Application,0.307892144,0.96355162,0.96355162
Fit Model To Image Collection,Training Model,0.241791084,0.789038142,0.789038142
Unsupervised Learning,Training Model,0.42028752,0.789038142,0.789038142
Supervised Classification,Training Model,0.335019499,0.789038142,0.789038142
Machine Learning Model Training,Training Model,0.791240811,0.789038142,0.791240811
Validation Data,Classification And Machine Learning,0.3436746,0.639051935,0.639051935
Validating The Model,Validation Data,0.691413283,0.904385946,0.904385946
Validating Classification,Validation Data,0.602305055,0.904385946,0.904385946
Estimation,Spatial Analysis And Modeling,0.339427978,0.518994428,0.518994428
Estimate Population Affected By Flood,Estimation,0.41465202,0.748496233,0.748496233
Affected Urban Area Estimation,Estimation,0.57302624,0.748496233,0.748496233
Estimation Of Sensible Heat Flux,Estimation,0.434632301,0.748496233,0.748496233
Estimating Watersheds Area,Estimation,0.482862473,0.748496233,0.748496233
Estimating Soil Properties,Estimation,0.417243779,0.748496233,0.748496233
Estimating Phenology Metrics,Estimation,0.525383532,0.748496233,0.748496233
Estimating Fire Accumulation,Estimation,0.389996022,0.748496233,0.748496233
Estimating Soil Loss,Estimation,0.375813872,0.748496233,0.748496233
Estimate Forest loss,Estimation,0.421455383,0.748496233,0.748496233
Estimate Emissions,Estimation,0.519471824,0.748496233,0.748496233
Estimate Carbon,Estimation,0.356482923,0.748496233,0.748496233
Quality Assessment,Estimation,0.316940814,0.748496233,0.748496233
Accuracy Assessment,Quality Assessment,0.678639412,0.936013437,0.936013437
Validation And Accuracy Assessment,Accuracy Assessment,0.847356975,0.953164601,0.953164601
Refinement Of Results,Spatial Analysis And Modeling,0.1731603,0.425798356,0.425798356
Refinement Of Datasets,Refinement Of Results,0.55357343,0.873146705,0.873146705
Refine Detection Results,Refinement Of Results,0.582261384,0.873146705,0.873146705
Visualization And Output Generation,Spatial Analysis,0,0,0
Data Visualization,Visualization And Output Generation,0.743962049,0.797972304,0.797972304
Visualization Selection,Data Visualization,0.743691981,0.583274691,0.743691981
Visualization Setup,Data Visualization,0.80034548,0.583274691,0.80034548
Visualize Satellite Images,Data Visualization,0.600750446,0.66159899,0.66159899
Visualize Images In Different Band Combinations,Visualize Satellite Images,0.483392596,0.845730578,0.845730578
Displays Composite Image,Visualize Satellite Images,0.462799937,0.845730578,0.845730578
Display Specific Spectral Bands And Colors,Visualize Satellite Images,0.206460357,0.845730578,0.845730578
Display Selected Images,Visualize Satellite Images,0.461719692,0.845730578,0.845730578
Display Selected Band,Visualize Satellite Images,0.162843883,0.845730578,0.845730578
Animal Density Visualization,Data Visualization,0.574693143,0.583274691,0.583274691
Visualize The Processed Data,Data Visualization,0.821631432,0.583274691,0.821631432
Visualize NDVI Results,Data Visualization,0.526346326,0.609924031,0.609924031
Visualize NDVI And Date Information,Visualize NDVI Results,0.764534056,0.904385946,0.904385946
Creates Animation Of NDVI Over Time,Visualize NDVI Results,0.67851609,0.904385946,0.904385946
Visualize Data Layers,Data Visualization,0.752686083,0.609924031,0.752686083
Visualize Data Using Specific Band Combinations,Visualize Data Layers,0.491539448,0.904385946,0.904385946
Visualize Multi-Temporal Satellite Data,Visualize Data Layers,0.524565637,0.904385946,0.904385946
Visualize Temporal changes,Data Visualization,0.553667367,0.609924031,0.609924031
Visualize Satellite Imagery Changes Over Time,Visualize Temporal changes,0.625758588,0.904385946,0.904385946
Visualize Changes In Forest Cover Over Time,Visualize Temporal changes,0.597940445,0.904385946,0.904385946
Visualize Data With Specific Color Palettes,Data Visualization,0.604774535,0.583274691,0.604774535
Visualize True Color Images,Data Visualization,0.573627174,0.583274691,0.583274691
Visualize Radar Images,Data Visualization,0.599453211,0.583274691,0.599453211
Visualize Radar Images With Specific Visualization Parameters,Visualize Radar Images,0.914398015,0.936013437,0.936013437
Visualize Boundary,Data Visualization,0.540900171,0.583274691,0.583274691
Visualize Fire Data,Data Visualization,0.611142755,0.630358349,0.630358349
Load and Display Pre- And Post-Fire Satellite Image,Visualize Fire Data,0.359152108,0.880781001,0.880781001
Visualize Burned Areas,Visualize Fire Data,0.714066386,0.880781001,0.880781001
Visualize Disaster Impacts,Visualize Fire Data,0.586856723,0.880781001,0.880781001
Visualize Classified Data And Indices,Data Visualization,0.751159728,0.583274691,0.751159728
Visualize Tree Loss,Data Visualization,0.532793701,0.583274691,0.583274691
Visualizing Land Cover,Data Visualization,0.551424742,0.609924031,0.609924031
Visualize Vegetation Data,Visualizing Land Cover,0.688800395,0.936712059,0.936712059
Visualize Forest Cover,Visualize Vegetation Data,0.754010439,0.920762382,0.920762382
Visualize Tree Cover,Visualize Vegetation Data,0.692082226,0.920762382,0.920762382
Visualize Terrain Features,Data Visualization,0.593309581,0.609924031,0.609924031
Visualize Elevation Data (DEM),Visualize Terrain Features,0.625444114,0.904385946,0.904385946
Display Canopy Height,Visualize Terrain Features,0.3061001,0.904385946,0.904385946
Visualize Precipitation Data,Data Visualization,0.600929618,0.583274691,0.600929618
Visualize Clustered Data,Data Visualization,0.705208838,0.583274691,0.705208838
Enhancing Image Visualization,Data Visualization,0.758327007,0.583274691,0.758327007
Map Visualization Of Feature Collection,Data Visualization,0.703381062,0.705659206,0.705659206
Visualize Temperature Data,Map Visualization Of Feature Collection,0.352548301,0.798318753,0.798318753
Generate Spectral Signature Chart,Map Visualization Of Feature Collection,0.255985558,0.798318753,0.798318753
Display Classified Image and Indices,Map Visualization Of Feature Collection,0.43212527,0.798318753,0.798318753
Display Land Cover,Map Visualization Of Feature Collection,0.343605459,0.798318753,0.798318753
Display Carbon Data,Map Visualization Of Feature Collection,0.211463407,0.87299277,0.87299277
Display Manageable Carbon,Display Carbon Data,0.799108326,0.876969125,0.876969125
Display Irrecoverable Carbons,Display Carbon Data,0.794949412,0.876969125,0.876969125
Display Total Carbon,Display Carbon Data,0.878870964,0.876969125,0.878870964
Display Vulnerable Carbon,Display Carbon Data,0.767999887,0.876969125,0.876969125
Display Distance,Map Visualization Of Feature Collection,0.230415121,0.798318753,0.798318753
Display Interactive Map,Data Visualization,0.417705089,0.583274691,0.583274691
Generate Visualizations and Charts For Analysis,Data Visualization,0.721977293,0.685710967,0.721977293
Generate Visualizations And Statistical Charts For Classification Results,Generate Visualizations and Charts For Analysis,0.860825121,0.819500269,0.860825121
Generating Histograms,Generate Visualizations and Charts For Analysis,0.505628407,0.851149375,0.851149375
Generate And Display a Histogram,Generating Histograms,0.918713331,0.920762382,0.920762382
Generate Histograms For Image Data Analysis,Generating Histograms,0.841801643,0.920762382,0.920762382
Generate And Display A Scatter Plot,Generate Visualizations and Charts For Analysis,0.553601503,0.819500269,0.819500269
Generate Reflectance Charts,Generate Visualizations and Charts For Analysis,0.630806684,0.819500269,0.819500269
Generate ColumnChart For Precipitation,Generate Visualizations and Charts For Analysis,0.463861734,0.819500269,0.819500269
Create A Thematic Map,Generate Visualizations and Charts For Analysis,0.540384173,0.819500269,0.819500269
Link Maps For Synchronized Viewing,Data Visualization,0.338549405,0.583274691,0.583274691
Render,Data Visualization,0.374425411,0.583274691,0.583274691
Remapping,Data Visualization,0.31007874,0.609924031,0.609924031
Remapping Land Cover Classes,Remapping,0.533889055,0.904385946,0.904385946
Remapping Values,Remapping,0.862237155,0.904385946,0.904385946
Image Mapping,Data Visualization,0.537732065,0.647176518,0.647176518
Mapping Land Cover,Image Mapping,0.613076866,0.861759225,0.861759225
Mapping Cloud Cover,Image Mapping,0.53159982,0.861759225,0.861759225
Mapping Index/Indices,Image Mapping,0.51989305,0.861759225,0.861759225
Mapping Features,Image Mapping,0.691365719,0.861759225,0.861759225
Legend Creation,Data Visualization,0.184595734,0.583274691,0.583274691
Layer Addition To Map,Data Visualization,0.3088395,0.609924031,0.609924031
Add A Feature Collection,Layer Addition To Map,0.3394427,0.904385946,0.904385946
Add Land Use Layer,Layer Addition To Map,0.521909595,0.904385946,0.904385946
Annotate Images,Data Visualization,0.423187822,0.583274691,0.583274691
Data Conversion,Visualization And Output Generation,0.387198299,0.596934892,0.596934892
Converts Joined Data To Image Collection,Data Conversion,0.563704669,0.782276594,0.782276594
Convert And Format Spatial Data For Export,Data Conversion,0.518225193,0.782276594,0.782276594
Convert Radar Backscatter,Data Conversion,0.351193726,0.782276594,0.782276594
Distance Transformation,Data Conversion,0.404726684,0.782276594,0.782276594
Tasseled Cap Transformation,Data Conversion,0.271732748,0.782276594,0.782276594
Add Tasseled Cap Transformation,Tasseled Cap Transformation,0.960155606,0.936013437,0.960155606
Conversion Feature Collection,Data Conversion,0.621556699,0.782276594,0.782276594
Convert Image,Data Conversion,0.533985734,0.812801783,0.812801783
Convert Vector To Raster,Convert Image,0.479285032,0.904385946,0.904385946
Convert Raster To Vector,Convert Image,0.46356222,0.904385946,0.904385946
Convert Flood Detection Results To Vector Polygons,Convert Raster To Vector,0.489042103,0.953164601,0.953164601
Export Processed Data,Visualization And Output Generation,0.403947234,0.676545879,0.676545879
Export Processed Data To Drive,Export Processed Data,0.859220445,0.696774271,0.859220445
Export Processed Data To Google Drive,Export Processed Data,0.703433096,0.696774271,0.703433096
Export Results,Export Processed Data,0.812330544,0.838463015,0.838463015
Export Features,Export Results,0.734885395,0.939746644,0.939746644
Exporting Prediction Results,Export Features,0.618174434,0.801931818,0.801931818
Export Burned Area,Export Features,0.445151836,0.801931818,0.801931818
Export Burn Severity And Area Data,Export Burned Area,0.788797796,0.96355162,0.96355162
Export Flood Extent,Export Features,0.566972315,0.801931818,0.801931818
Export The Change Detection,Export Features,0.591824532,0.801931818,0.801931818
Export Species List,Export Features,0.61048466,0.801931818,0.801931818
Export Species Richness,Export Features,0.541991532,0.801931818,0.801931818
Export Land Cover Data,Export Features,0.570734859,0.801931818,0.801931818
Export Fitted Parameters And Phases,Export Features,0.5697366,0.801931818,0.801931818
Export Classification Results,Export Features,0.699817181,0.801931818,0.801931818
Export Surface Temperature,Export Features,0.390228659,0.801931818,0.801931818
Derive Land Surface Temperature Using Thermal Properties,Export Surface Temperature,0.644597828,0.96355162,0.96355162
Export Time Series Data,Export Processed Data,0.566453218,0.696774271,0.696774271
Export Clipped Data,Export Processed Data,0.794926524,0.696774271,0.794926524
Export Training Data,Export Processed Data,0.683731496,0.696774271,0.696774271
Export Validation Result,Export Processed Data,0.620202541,0.696774271,0.696774271
Export Validation Information,Export Validation Result,0.94836241,0.936013437,0.94836241
Export Statistics,Export Processed Data,0.685868144,0.696774271,0.696774271
Export Sampled Data,Export Processed Data,0.850601733,0.696774271,0.850601733
Export Training Samples,Export Sampled Data,0.554790437,0.936013437,0.936013437
Export Raster Data,Export Processed Data,0.636002183,0.696774271,0.696774271
Export Geospatial Data,Export Processed Data,0.606008947,0.696774271,0.696774271
Export Anomaly Data,Export Processed Data,0.651562929,0.696774271,0.696774271
Export Processed Images,Visualization And Output Generation,0.433643013,0.620433085,0.620433085
Export Processed Images To Drive,Export Processed Images,0.901685178,0.756007828,0.901685178
Export Processed Images To Google Drive,Export Processed Images,0.791190863,0.756007828,0.791190863
Export Tiled Images,Export Processed Images,0.75315541,0.756007828,0.756007828
Export Composite Image,Export Processed Images,0.766768396,0.756007828,0.766768396
Export Clustered Image,Export Processed Images,0.744710207,0.756007828,0.756007828
Export Clipped Image,Export Processed Images,0.788199008,0.756007828,0.788199008
Export Selected Image,Export Processed Images,0.783650339,0.756007828,0.783650339
Export Mosaic,Export Processed Images,0.609422624,0.756007828,0.756007828
Export Terrain Layers,Export Processed Images,0.495407134,0.756007828,0.756007828
Export Masked Image,Export Processed Images,0.653406739,0.756007828,0.756007828
Exporting Classified Images,Export Processed Images,0.774931967,0.756007828,0.774931967
Exporting Classified Raster,Exporting Classified Images,0.610332191,0.936013437,0.936013437
Time Series Graphs And Statistics,Visualization And Output Generation,0.209961355,0.566685126,0.566685126
Generate Time Series Charts,Time Series Graphs And Statistics,0.721775353,0.90710796,0.90710796
Generate Time Series Charts For NDVI,Generate Time Series Charts,0.800943613,0.845730578,0.845730578
Generate Time Series Charts Of Temperature Data,Generate Time Series Charts,0.78160274,0.845730578,0.845730578
Generate Time Series Charts Of Corrected Data,Generate Time Series Charts,0.822811544,0.845730578,0.845730578
Generate Time Series Charts Of Water Area,Generate Time Series Charts,0.748929203,0.845730578,0.845730578
Generate Time Series Charts Of Cloud Scores,Generate Time Series Charts,0.658672392,0.845730578,0.845730578
,,0.571646813,0.788326865,0.795337401
